rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1510962725973739388,,156,,1510962725,973159805,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1510962725976416628,,157,,1510962725,976114492,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727393921367,,158,,1510962727,392113242,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727409803606,,159,,1510962727,408109492,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727417621211,,160,,1510962727,416103815,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727425628971,,161,,1510962727,424088606,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727433762669,,162,,1510962727,432104127,'',"[-0.0, -0.0, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727457806054,,163,,1510962727,456130481,'',"[-0.0, 0.011071793735027313, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727489599023,,164,,1510962727,488137565,'',"[-0.0, 0.011071793735027313, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962727497656627,,165,,1510962727,496101888,'',"[-0.0, 0.011071793735027313, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
